50,100,500,1000
408.3155556,0,0,0
0,843.38,0.11145618,0
68.4359425,0,392.616041,36.31245184
4179.6,0,98.35816231,0
0,0,0,0
0,714.56,0,107.8468578
0,0,67.60477861,0
0,0,0,107.8468578
0,0.007733059,900.3434421,4
0,0,0,0
0,126.6260474,0,0
0,0,0,0
38.54049379,0,0,0
0,0,0,53.66771591
0,795.1757076,0,64
0,0,0,0
808.5640224,126.561112,0,98.35816231
0,0,0,0
1419.619653,0,0,61.84511903
961.6446202,0,0,0
503.794764,0,376.8051372,4.42
1205.788294,0.931181453,0,0
948.3261871,450.3852042,0,0
7.96E-28,79.04624669,0,0
0,13.36683505,0,0
542.4338799,240.3943079,0,0
1678.749582,693.0343979,0,0
0,0,0,0
0,0,0,0
4398.806001,0,0,0
0,0,519.2,0
459.823997,0,0,101.9870801
1467.38,0,0,1.493495235
297.5381986,0.04938143,0,138.6145331
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,157.348108
1042.273597,355.0699527,0,0
491.6950461,36.77495132,0,294.3479197
0,0,0,107.6
214.8302917,0,0,98.35816231
3.629768639,12.34629235,0,98.35816231
366.1118178,707.2940558,0,0
3997.7,628.5213036,2.36673236,0
1485.268168,0,0,0
427.6488452,900.84,0,0
1712.3,13.85366819,0,8.98
1312.376737,0,0,1282.7
1450.37125,0,0,0
0,0,0,0
2189.770063,115.0741575,0,0
0,63.91043533,0,0
0,1085.285693,0,0
0,2897.378257,0,0
0,775.4679955,0,0
794.5802647,0,597.4008667,0
0,0,25.74380151,0
412.4318011,0.009793503,0,0
784.1825029,0,0,72.10079328
786.4305883,3.393410466,0,0
346.6525325,472.1369531,0,657.88
0,620.4916788,233.405,107.9873074
0,391.3870314,0,0
0,1872.280207,0,0
889,0,0,9
97.4952037,0,0,98.35816231
789.6012729,0,0,779.5839642
1485.759966,0,1.38,0
0,72.70624717,0,383.337
797.9085537,0,0,0
1293.45611,27.7719943,0,0
0,1505.665269,0,0
207.744562,305.9805636,64,0
3263.843534,201.3768788,0,415.3151368
1400.0775,59.02222968,0,0
0,1146.044454,0,0
710.1624954,0,0,0
0,0,0,0
54.09842515,0,46.7478755,0
3626.86,433.5963999,0,0
1266.888492,177.6749327,0,0
302.9820833,0,0,0
511.6956682,0,768.0814127,0
0,0,0,0
511.6586226,22.92429363,0,33.58267979
2709.503851,853.5222231,0,0
261.1108749,966.8070665,0,0
0,0,0,0
329.1520759,0,9,26.97253533
182.88,0,0,0
0,0,0,0
965.885,1941.933532,0,0
0,0,64,3.56
0,0,0,0
2850.714452,0,98.133821,0
969.38,138.087262,0,0
0,311.3981084,56.89331565,0
0,0,0,299.5540653
0,0,0,0
